application_id,org_id,shift_id,first_name,middle_name,last_name,name_suffix,voting_street_address_one,voting_street_address_two,voting_city,voting_state,voting_zipcode,mailing_street_address_one,mailing_street_address_two,mailing_city,mailing_state,mailing_zipcode,county,gender,date_of_birth,phone_number,email_address,updated_at,party,name_prefix,ethnicity,latitude,longitude,completed,registration_date,shift_type,locations_state,program_type,program_sub_type,collection_medium,office,field_start,field_end,evc_month,evc_year
af29d115-ef24-4d62-9dd9-61e6830b54fa,org_5,1234,Kristen,Matthew,Smith,DDS,90493 Karen Dale,4,Port Jason,AR,55933,55230 Darius Cliff,0,Lake Samanthastad,KS,17250,county_3,other,1931-11-09,2005914570,shane903yahoo.com,2022-05-08,democrat,Dr.,unknown,-5.092275,-125.212801,true,2022-04-28,2089,NC,digital,aligned,web,office_3,2022-10-11,2022-10-11 02:00:00.000,April,2022
4307c68c-4254-44a1-974f-1eedf5b0f16c,org_5,6877,Denise,Holly,Haley,DVM,0222 Shawn Fort,8,East Jessemouth,CA,33371,399 Scott Manors,4,East Austinchester,GA,15072,county_2,female,1920-09-20,231308774,wlewis7gmail.com,2022-05-23,democrat,Dr.,caucasian,-76.2467795,44.420839,false,2022-06-19,2969,CT,digital,aligned,tablet,office_2,2022-07-01,2022-07-01 02:00:00.000,June,2022
fbc80976-b0bd-44fe-8a21-f7035dd1d183,org_3,5050,Andrew,Gina,Garcia,MD,070 Walsh Mountain,3,North Justinstad,ME,95340,73195 Baldwin Dam,5,Barronview,DE,16617,county_2,other,1952-05-16,9707457254,efox8hotmail.com,2022-09-26,independent,Miss,black,-27.823003,-96.033647,false,2022-06-25,4250,OH,digital,evc_funded,tablet,office_2,2022-03-24,2022-03-24 02:00:00.000,June,2022
258117a5-8b96-4e9c-bf6c-6a1b2d1724ab,org_4,1095,Lauren,Rhonda,Maldonado,PhD,46357 Alexandria Creek,2,Davishaven,IA,94265,27365 Steven Stravenue Apt. 962,6,South Joshuaview,UT,96347,county_7,other,1995-01-12,3893660578,gsantos4gmail.com,2022-08-16,independent,Dr.,black,-32.152371,-126.067355,true,2022-09-18,9137,WA,remote,aligned,paper,office_8,2022-09-14,2022-09-14 02:00:00.000,September,2022
9cc13f0e-022c-46e7-a34b-a7499ca72c90,org_4,7898,Jon,Ashlee,Mcdonald,DDS,0781 Buckley Isle,7,Nataliemouth,AK,10961,64202 James Mountain Suite 204,8,Rasmussenstad,AZ,71017,county_7,other,1967-02-11,4727841454,debbie46hotmail.com,2022-05-22,independent,Ms.,black,70.0391485,104.791759,true,2022-09-11,8268,RI,field,aligned,tablet,office_4,2022-05-02,2022-05-02 02:00:00.000,September,2022
47095b9b-85cb-4c08-bb6b-88648fb18c7e,org_1,1833,Daniel,Lori,Gray,PhD,5157 Jackson Mills,4,Klinemouth,RI,28799,2137 Karen Vista Suite 252,2,West Lindsey,RI,50047,county_7,other,1953-06-06,5648915467,jonathanvalenzuela2yahoo.com,2022-10-19,democrat,Dr.,black,-55.893737,-164.951763,true,2022-03-22,2737,MI,field,aligned,tablet,office_6,2022-02-05,2022-02-05 02:00:00.000,March,2022
63d136f9-983a-481c-9562-33b3d337d795,org_5,4663,Taylor,Rachel,Ward,DDS,23542 Ward Corners Suite 333,9,West Shelbyton,FL,23762,7425 Matthew Trafficway,9,Perezton,MO,62602,county_8,other,1949-12-21,9919887672,ccruzgmail.com,2022-04-30,independent,Mrs.,nativeAmerican,44.218957,-85.997017,true,2022-04-07,5010,NH,field,aligned,tablet,office_6,2022-01-30,2022-01-30 02:00:00.000,April,2022
6d63da49-2598-419d-8662-79ca2c52c981,org_1,5505,Teresa,Debra,Williams,III,72802 Brandon Plains,0,Evelynbury,DC,49197,28131 Lewis Center Apt. 659,6,New Daniel,WY,20343,county_4,female,1958-03-14,4562626541,kennedyjustin4yahoo.com,2022-04-18,independent,Mrs.,unknown,56.8429585,173.384309,true,2021-11-17,9862,OH,remote,evc_funded,paper,office_7,2022-06-19,2022-06-19 02:00:00.000,November,2021
a01c5760-235a-490e-a524-b7e00a02af7d,org_1,4300,Jacqueline,Thomas,Williams,PhD,503 Donald Square,8,Port Stephanie,TN,61302,25489 Robert Mall Apt. 741,4,East Robertview,ND,95907,county_7,other,1978-05-13,7756794939,wwallace5yahoo.com,2021-12-03,democrat,Dr.,caucasian,78.11696,73.050823,true,2022-08-31,9451,DC,mail,evc_funded,web,office_2,2021-11-10,2021-11-10 02:00:00.000,August,2022
32aa009f-076f-458d-9ed5-ed22c9f8ec02,org_3,959,Luis,Jonathan,Ramsey,DDS,67049 Jason Estates Suite 197,4,South Timothybury,FL,74544,39599 Warren Freeway Apt. 804,3,New Jessica,WY,57663,county_2,male,1960-03-04,3308819800,zmann2gmail.com,2022-03-27,independent,Dr.,caucasian,42.275533,131.858341,true,2022-08-06,7539,VA,remote,aligned,tablet,office_1,2022-05-10,2022-05-10 02:00:00.000,August,2022
244bc589-a61e-480d-a11b-8e150ab012f3,org_2,5270,John,Brandon,Thomas,MD,881 Samuel Dam,0,Williamview,NJ,06666,1951 Cox Roads Suite 748,9,North Bradley,NE,83499,county_1,male,1998-05-16,188966632,christinasmith3hotmail.com,2022-02-28,democrat,Mr.,hispanic,61.913313,-62.110408,false,2021-11-30,5900,DE,field,evc_funded,paper,office_4,2021-12-15,2021-12-15 02:00:00.000,November,2021
147a7953-67c2-44e6-b131-968c019b949c,org_5,4604,Brandi,Jeffrey,Fox,IV,2262 Moss Center Apt. 876,9,Martinberg,MI,19589,2269 Pollard Mountains,7,South Ryan,WA,29253,county_6,other,1911-02-15,879443775,psolomonhotmail.com,2022-05-03,republican,Dr.,black,-60.542806,91.322057,false,2022-10-20,4025,VA,digital,evc_funded,mail,office_8,2022-07-06,2022-07-06 02:00:00.000,October,2022
